cli_identificacion,cli_nombre,cli_apellido,cli_email,cli_telefono,cli_direccion,cli_ciudad,cli_pais,cli_metadata
1724567890,Daniela,Paredes,dparedes@gmail.com,0998765430,"Av. Amazonas y República",Quito,Ecuador,"{""preferencias"":[""OEM"",""eléctricos""],""canal"":""web"",""frecuencia_compra"":""mensual""}"
1790123457,Esteban,Cevallos,estebancev@outlook.com,0987654322,"Av. Los Shyris y Portugal",Quito,Ecuador,"{""preferencias"":[""mecánicos""],""canal"":""presencial"",""frecuencia_compra"":""trimestral""}"
1809876544,Gabriela,Torres,gtorres@hotmail.com,0991234568,"Calle Bolívar y Rocafuerte",Ambato,Ecuador,"{""preferencias"":[""OEM"",""lubricantes""],""canal"":""web"",""frecuencia_compra"":""mensual""}"
1723987655,Diego,Imbaquingo,dimbaquingo@empresa.ec,0982345679,"Av. Sucre y García Moreno",Otavalo,Ecuador,"{""preferencias"":[""eléctricos""],""canal"":""web"",""frecuencia_compra"":""bimestral""}"
1798765433,Andrea,Salazar,asalazar@gmail.com,0993456780,"Av. Maldonado y Villafuerte",Quito,Ecuador,"{""preferencias"":[""OEM""],""canal"":""presencial"",""frecuencia_compra"":""mensual""}"
179654321002,AutoParts Loja Cía. Ltda.,,contacto@autopartsloja.ec,072345679,"Av. Universitaria y Bolívar",Loja,Ecuador,"{""tipo_cliente"":""empresa"",""segmento"":""repuestos"",""canal"":""mayorista""}"
179876543002,MotorZone Cuenca S.A.,,info@motorzonecuenca.ec,072987655,"Av. Remigio Crespo y Solano",Cuenca,Ecuador,"{""tipo_cliente"":""empresa"",""segmento"":""servicio"",""canal"":""mayorista""}"
179123456002,ServiCarros Quito Ltda.,,ventas@servicarrosquito.ec,022345679,"Av. América y Mariana de Jesús",Quito,Ecuador,"{""tipo_cliente"":""empresa"",""segmento"":""servicio"",""canal"":""web""}"
171234567002,Repuestos Originales Ambato S.A.,,contacto@roqambato.ec,032345679,"Av. Cevallos y Montalvo",Ambato,Ecuador,"{""tipo_cliente"":""empresa"",""segmento"":""repuestos"",""canal"":""mayorista""}"
179876545002,AutoExpress Cuenca S.A.,,ventas@autoexpresscuenca.ec,072345679,"Av. Francisco de Orellana",Cuenca,Ecuador,"{""tipo_cliente"":""empresa"",""segmento"":""servicio"",""canal"":""web""}"
179654311002,CarMaster Loja Cía. Ltda.,,info@carmasterloja.ec,072987655,"Av. 9 de Octubre y Boyacá",Loja,Ecuador,"{""tipo_cliente"":""empresa"",""segmento"":""repuestos"",""canal"":""mayorista""}"
179012344002,Repuestos del Norte Quito S.A.,,ventas@repunortequito.ec,062345679,"Av. Imbabura y Bolívar",Quito,Ecuador,"{""tipo_cliente"":""empresa"",""segmento"":""repuestos"",""canal"":""web""}"
179876548002,AutoMundo Ambato S.A.,,contacto@automundoambato.ec,032345679,"Av. Machala y Quito",Ambato,Ecuador,"{""tipo_cliente"":""empresa"",""segmento"":""servicio"",""canal"":""mayorista""}"
172345678002,Repuestos Ambato Ltda.,,info@repuestosambato.ec,032345679,"Av. Cevallos y Montalvo",Ambato,Ecuador,"{""tipo_cliente"":""empresa"",""segmento"":""repuestos"",""canal"":""web""}"
179876541002,MotorParts Loja S.A.,,ventas@motorpartsloja.ec,072345679,"Av. Francisco de Orellana",Loja,Ecuador,"{""tipo_cliente"":""empresa"",""segmento"":""servicio"",""canal"":""mayorista""}"
179654331002,AutoRepuestos Cuenca Cía. Ltda.,,contacto@autorepuestoscuenca.ec,072987655,"Av. Universitaria y Bolívar",Cuenca,Ecuador,"{""tipo_cliente"":""empresa"",""segmento"":""repuestos"",""canal"":""web""}"
179012345002,Repuestos Cuenca Ltda.,,info@repuestoscuenca.ec,072345679,"Av. Remigio Crespo y Solano",Cuenca,Ecuador,"{""tipo_cliente"":""empresa"",""segmento"":""repuestos"",""canal"":""mayorista""}"
179876542002,AutoCenter Loja S.A.,,ventas@autocenterloja.ec,072987655,"Av. 9 de Octubre y Machala",Loja,Ecuador,"{""tipo_cliente"":""empresa"",""segmento"":""servicio"",""canal"":""web""}"
1798765434,Paola,Andrade,pandrade@gmail.com,0998765434,"Av. República y Eloy Alfaro",Quito,Ecuador,"{""preferencias"":[""OEM"",""eléctricos""],""canal"":""web"",""frecuencia_compra"":""mensual""}"
1798765435,Luis,Torres,ltorres@hotmail.com,0998765435,"Av. Naciones Unidas y Amazonas",Quito,Ecuador,"{""preferencias"":[""mecánicos"",""lubricantes""],""canal"":""presencial"",""frecuencia_compra"":""trimestral""}"
